Date/time: 12:27:38.459 PM 14-Aug-2019
seed,506
Parent-Memory,5
SchoolSize,100
Number-of-Schools,10
Departure-Probability,1
Number-of-Ranks,6
Initial-School-GCSE-Distribution,uniform
School-Value-Added,true
School-Value-Added-Distribution,normal
Location-Rules,true
Move-Closest,false
Avoid-Schools,true
Avoided-Threshold,0.75
School-Peer-Effect,0.25
Parent-Effect,0.25
Tick,MeanGCSE,RangeGCSE,MeanAppRatio,RangeAppRatio,asp-moran-i,asp-moran-i-p,pv-moran-i,pv-moran-i-p,GA-m,GA-r,GA-p,GMx-m,GMx-r,GMx-p,GMn-m,GMn-r,GMn-p,AMx-m,AMx-r,AMx-p,AMn-m,AMn-r,AMn-p
69,61.21486281890175,41.12539166381782,5.768,7.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,61.34645694264626,38.936600831291365,5.788,7.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71,61.34560665903276,39.149231244093755,5.792000000000001,7.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72,61.45183003202884,38.390664484681096,5.782,7.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,61.49542131237207,38.48689867271739,5.7509999999999994,6.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74,61.543532090775685,39.278877671226255,5.8,7.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,61.2889492196442,40.5513571007985,5.795,7.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,61.37156553219783,40.10012195390489,5.844,7.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,61.23889540343423,41.680772304201305,5.815,7.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
78,61.29978042496441,42.67115347263976,5.801,7.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,61.156866132583446,41.80112414889041,5.769,7.279999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,61.26890671536993,41.970093924996746,5.7780000000000005,7.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,61.150530005553534,41.405682601109255,5.747,7.279999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,61.20752187399786,40.35520818386354,5.8469999999999995,7.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,61.096615619733335,38.77198842037791,5.803000000000001,7.529999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,61.07089980800352,38.70318405158259,5.79,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,61.25406305919925,37.62468858631349,5.7780000000000005,7.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,61.376390988020454,38.18977649642173,5.7989999999999995,7.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,61.38701398151136,38.88092517091871,5.773,7.3100000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,61.310410734527565,40.5991910893873,5.794,7.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,61.332284557630615,42.271232435118726,5.771000000000001,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,61.08648333442325,43.642619044191875,5.758000000000001,7.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
91,60.807681367242104,44.40169036225932,5.715000000000002,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,60.64089551060914,43.835119575386905,5.718999999999999,7.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
93,60.568531746464316,42.644324713310134,5.72,7.359999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
94,60.58035266941711,41.254664696857766,5.696,7.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95,60.57230634005143,40.68327272264115,5.764999999999999,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,60.81304083018627,39.412942541435356,5.748,7.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,60.7998674386303,38.10628542484501,5.762,7.3100000000000005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
98,60.9780287106709,37.55187392606273,5.756000000000001,7.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,61.05303513212243,37.44777541662842,5.784,7.109999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
